post_id,date,month,platform,topic,text,likes,retweets,sentiment,predicted_sentiment
POST00496,2025-01-23 22:00,2025-01,Facebook,airline service,"Just tried the airline service and I'm impressed, great experience overall. 😊",12,9,Positive,Positive
POST01477,2025-10-20 09:00,2025-10,Facebook,airline service,"Absolutely loving the airline service, works flawlessly! #happy",39,9,Positive,Positive
POST00333,2025-03-24 10:00,2025-03,Instagram,online banking app,"Saw an ad for online banking app today, might check it out later.",1,12,Neutral,Neutral
POST01927,2025-08-14 11:00,2025-08,Instagram,e-commerce sale,"Mixed feelings about e-commerce sale, some parts great some not.",2,1,Neutral,Neutral
POST01722,2025-12-25 17:00,2025-12,Instagram,electric car,"Not happy at all with electric car, total waste of money. 😡",1,16,Negative,Negative
POST01162,2025-09-08 12:00,2025-09,Instagram,new smartphone,"The new smartphone was launched today, here are the specifications.",10,3,Neutral,Neutral
POST00480,2025-07-23 10:00,2025-07,Instagram,laptop brand,"Terrible customer support for laptop brand, waited hours for a reply.",2,4,Negative,Negative
POST00965,2025-07-04 14:00,2025-07,Facebook,fitness tracker,The fitness tracker is scheduled for release next week.,12,0,Neutral,Neutral
POST00910,2025-06-27 15:00,2025-06,Facebook,fitness tracker,"Really impressed by how well fitness tracker performs, well done! 🔥",7,5,Positive,Positive
POST01348,2025-06-08 20:00,2025-06,YouTube,fitness tracker,"Super smooth experience with fitness tracker today, very happy customer here. 😊",15,7,Positive,Positive
POST00707,2025-07-12 20:00,2025-07,Twitter,laptop brand,"The laptop brand exceeded my expectations, five stars from me.",53,13,Positive,Positive
POST00427,2025-07-18 07:00,2025-07,Instagram,fitness tracker,"The fitness tracker exceeded my expectations, five stars from me. 🔥",17,7,Neutral,Positive
POST01526,2025-02-03 18:00,2025-02,Instagram,cloud gaming service,"Best cloud gaming service I've used so far, highly recommend it to everyone! 😊",13,1,Positive,Positive
POST00451,2025-02-17 12:00,2025-02,Twitter,cloud gaming service,Comparing cloud gaming service with other options currently available.,10,2,Neutral,Neutral
POST01627,2025-12-13 08:00,2025-12,Twitter,airline service,"Best airline service I've used so far, highly recommend it to everyone! ❤️",43,1,Positive,Positive
POST01517,2025-07-21 17:00,2025-07,YouTube,fitness tracker,"The fitness tracker keeps crashing, so frustrating to deal with. 😡",19,10,Negative,Negative
POST01997,2025-03-02 10:00,2025-03,Twitter,cloud gaming service,"The cloud gaming service is fine, price is a bit high though.",33,9,Neutral,Neutral
POST01288,2025-08-22 19:00,2025-08,Facebook,customer support,"Terrible customer support for customer support, waited hours for a reply.",5,1,Negative,Negative
POST01739,2025-09-23 18:00,2025-09,Twitter,new movie release,"Really impressed by how well new movie release performs, well done! 😊",23,4,Positive,Positive
POST00399,2025-08-01 22:00,2025-08,Facebook,electric car,"Really impressed by how well electric car performs, well done! ❤️",51,29,Positive,Positive
POST00974,2025-02-10 01:00,2025-02,YouTube,electric car,"Super smooth experience with electric car today, very happy customer here. 👍",9,9,Positive,Positive
POST00437,2025-10-11 18:00,2025-10,Facebook,new smartphone,"The customer service for new smartphone was fantastic, quick and helpful. ❤️",42,0,Positive,Positive
POST00193,2025-06-08 14:00,2025-06,Twitter,cloud gaming service,"Absolutely loving the cloud gaming service, works flawlessly! #happy",65,5,Positive,Positive
POST01448,2025-01-04 07:00,2025-01,YouTube,new movie release,"Great value for money with new movie release, totally worth it. 👍",42,14,Positive,Positive
POST00620,2025-03-31 22:00,2025-03,Facebook,cloud gaming service,"Extremely poor service from cloud gaming service, never again. 👎",22,5,Negative,Negative
POST00293,2025-05-03 13:00,2025-05,Twitter,airline service,"Feeling let down by airline service, it just doesn't work as promised.",12,0,Negative,Negative
POST01942,2025-12-17 13:00,2025-12,Twitter,food delivery app,"The food delivery app is okay I guess, nothing special but works.",24,0,Neutral,Neutral
POST01775,2025-03-28 21:00,2025-03,YouTube,e-commerce sale,"Extremely poor service from e-commerce sale, never again. 😞",80,0,Negative,Negative
POST01290,2025-04-02 00:00,2025-04,Facebook,new movie release,"The new movie release update ruined everything, please fix this asap. 😡",12,0,Negative,Negative
POST01779,2025-09-05 09:00,2025-09,Facebook,online banking app,The online banking app has some new features this month. 🤔,34,1,Neutral,Neutral
POST01655,2025-03-30 18:00,2025-03,Twitter,streaming app,"Really impressed by how well streaming app performs, well done! 🔥",34,5,Positive,Positive
POST00142,2025-05-16 21:00,2025-05,Instagram,food delivery app,"The food delivery app keeps crashing, so frustrating to deal with. 😞",0,3,Negative,Negative
POST01492,2025-02-13 17:00,2025-02,YouTube,electric car,"The customer service for electric car was fantastic, quick and helpful. 👍",27,5,Positive,Positive
POST00003,2025-01-17 00:00,2025-01,YouTube,e-commerce sale,"Just tried the e-commerce sale and I'm impressed, great experience overall. 🔥",50,7,Neutral,Positive
POST01681,2025-08-09 05:00,2025-08,Facebook,cloud gaming service,"Not sure yet what to think about cloud gaming service, still testing it out.",10,0,Neutral,Neutral
POST01890,2025-09-28 22:00,2025-09,Instagram,electric car,"Mixed feelings about electric car, some parts great some not.",24,2,Neutral,Neutral
POST01320,2025-09-12 20:00,2025-09,Instagram,customer support,"The customer support keeps crashing, so frustrating to deal with. 😞",0,0,Negative,Negative
POST00340,2025-06-02 14:00,2025-06,YouTube,cloud gaming service,"The cloud gaming service keeps crashing, so frustrating to deal with. 😡",29,0,Neutral,Negative
POST00638,2025-05-31 21:00,2025-05,Twitter,customer support,"Attended a webinar about customer support, learned a few things.",67,1,Neutral,Neutral
POST01284,2025-08-06 06:00,2025-08,YouTube,laptop brand,"Really impressed by how well laptop brand performs, well done! 🔥",13,0,Positive,Positive
POST00582,2025-04-29 16:00,2025-04,Twitter,airline service,"Can't stop recommending airline service to my friends, it's brilliant. 👍",13,5,Positive,Positive
POST00266,2025-08-13 16:00,2025-08,YouTube,food delivery app,"Read an article about food delivery app today, fairly informative. 🤔",32,3,Neutral,Neutral
POST00377,2025-10-03 08:00,2025-10,Instagram,food delivery app,"Really impressed by how well food delivery app performs, well done! 👍",7,10,Positive,Positive
POST00695,2025-11-20 05:00,2025-11,Facebook,new movie release,"The new movie release broke down after just one week, very poor quality. 😡",28,3,Negative,Negative
POST01179,2025-11-02 05:00,2025-11,Twitter,streaming app,"Great value for money with streaming app, totally worth it.",3,2,Positive,Positive
POST00440,2025-08-24 05:00,2025-08,YouTube,new movie release,Here's a quick overview of the new new movie release update. 🤔,1,0,Neutral,Neutral
POST00272,2025-06-08 17:00,2025-06,Twitter,e-commerce sale,Comparing e-commerce sale with other options currently available.,24,2,Neutral,Neutral
POST00185,2025-08-27 09:00,2025-08,Twitter,online banking app,"Extremely poor service from online banking app, never again. 😞",9,8,Negative,Negative
POST00951,2025-09-06 06:00,2025-09,Twitter,food delivery app,"The food delivery app keeps crashing, so frustrating to deal with. 😡",3,0,Negative,Negative
POST00245,2025-06-17 03:00,2025-06,Facebook,online banking app,"Really disappointed with online banking app, expected way better.",8,1,Negative,Negative
POST01660,2025-08-05 16:00,2025-08,YouTube,new movie release,"The customer service for new movie release was fantastic, quick and helpful. ❤️",0,0,Positive,Positive
POST00527,2025-12-31 10:00,2025-12,Instagram,food delivery app,Why is food delivery app so slow today? Getting really annoyed.,9,1,Negative,Negative
POST00446,2025-01-09 16:00,2025-01,Twitter,customer support,"Terrible customer support for customer support, waited hours for a reply. 👎",2,4,Negative,Negative
POST00917,2025-05-15 02:00,2025-05,Instagram,customer support,Comparing customer support with other options currently available. 🤔,12,1,Neutral,Neutral
POST01341,2025-10-27 23:00,2025-10,Facebook,laptop brand,"Not happy at all with laptop brand, total waste of money. 😞",3,4,Negative,Negative
POST00597,2025-04-12 20:00,2025-04,Twitter,new smartphone,"Great value for money with new smartphone, totally worth it. 🔥",18,1,Positive,Positive
POST00922,2025-02-22 09:00,2025-02,Instagram,new smartphone,"Terrible customer support for new smartphone, waited hours for a reply. 😞",1,12,Negative,Negative
POST01537,2025-02-25 15:00,2025-02,Instagram,online banking app,"Saw an ad for online banking app today, might check it out later.",5,1,Neutral,Neutral
POST01971,2025-11-27 22:00,2025-11,YouTube,new movie release,"Decent new movie release, does the job but support could be faster.",22,3,Neutral,Neutral
POST00416,2025-11-11 00:00,2025-11,YouTube,new smartphone,Why is new smartphone so slow today? Getting really annoyed. 😞,1,0,Positive,Negative
POST00274,2025-06-08 05:00,2025-06,Facebook,new smartphone,"Huge shoutout to the team behind new smartphone, amazing job! 👍",40,0,Positive,Positive
POST01308,2025-09-17 01:00,2025-09,Instagram,new movie release,"Not happy at all with new movie release, total waste of money. 👎",18,1,Negative,Negative
POST01977,2025-04-09 19:00,2025-04,YouTube,food delivery app,"Mixed feelings about food delivery app, some parts great some not.",1,6,Neutral,Neutral
POST01468,2025-07-04 14:00,2025-07,Instagram,laptop brand,"The laptop brand keeps crashing, so frustrating to deal with. 😞",3,1,Negative,Negative
POST00251,2025-02-15 13:00,2025-02,Facebook,electric car,"Just tried the electric car and I'm impressed, great experience overall. 🔥",70,7,Positive,Positive
POST00414,2025-09-30 12:00,2025-09,YouTube,new movie release,"Huge shoutout to the team behind new movie release, amazing job! 🔥",50,11,Positive,Positive
POST01209,2025-09-29 01:00,2025-09,Facebook,customer support,"The customer support exceeded my expectations, five stars from me. ❤️",7,0,Negative,Positive
POST01319,2025-03-27 19:00,2025-03,Facebook,new movie release,"The new movie release exceeded my expectations, five stars from me. 👍",50,20,Positive,Positive
POST00594,2025-02-22 04:00,2025-02,YouTube,airline service,"The airline service was launched today, here are the specifications. 🤔",0,9,Neutral,Neutral
POST00311,2025-12-05 09:00,2025-12,Facebook,airline service,"The airline service exceeded my expectations, five stars from me. ❤️",45,33,Positive,Positive
POST01943,2025-02-12 04:00,2025-02,Instagram,online banking app,"Decent online banking app, does the job but support could be faster.",1,5,Neutral,Neutral
POST00382,2025-09-02 20:00,2025-09,YouTube,cloud gaming service,Why is cloud gaming service so slow today? Getting really annoyed. 👎,3,8,Negative,Negative
POST01622,2025-02-28 22:00,2025-02,Facebook,new smartphone,"Best new smartphone I've used so far, highly recommend it to everyone! 👍",9,8,Negative,Positive
POST00426,2025-10-15 13:00,2025-10,Twitter,new movie release,"Can't stop recommending new movie release to my friends, it's brilliant.",6,34,Positive,Positive
POST01895,2025-10-20 16:00,2025-10,Facebook,electric car,"The electric car is fine, price is a bit high though.",26,4,Neutral,Neutral
POST00536,2025-08-08 06:00,2025-08,Twitter,new movie release,"Worst experience ever with new movie release, would not recommend. 👎",0,6,Negative,Negative
POST00760,2025-04-15 17:00,2025-04,Facebook,new smartphone,"Really disappointed with new smartphone, expected way better. 👎",12,0,Negative,Negative
POST01510,2025-01-24 05:00,2025-01,Facebook,e-commerce sale,"Read an article about e-commerce sale today, fairly informative. 🤔",10,0,Neutral,Neutral
POST01886,2025-12-06 18:00,2025-12,Twitter,new smartphone,"Decent new smartphone, does the job but support could be faster.",37,0,Neutral,Neutral
POST00409,2025-08-30 01:00,2025-08,Twitter,new smartphone,"Terrible customer support for new smartphone, waited hours for a reply.",12,2,Negative,Negative
POST01629,2025-11-22 16:00,2025-11,Twitter,new movie release,"Just tried the new movie release and I'm impressed, great experience overall. ❤️",53,3,Positive,Positive
POST01829,2025-09-20 14:00,2025-09,Twitter,food delivery app,"The food delivery app is fine, price is a bit high though.",4,1,Neutral,Neutral
POST01788,2025-03-24 04:00,2025-03,YouTube,cloud gaming service,"Super smooth experience with cloud gaming service today, very happy customer here. ❤️",19,9,Positive,Positive
POST00553,2025-07-04 10:00,2025-07,Twitter,airline service,"Worst experience ever with airline service, would not recommend.",4,2,Negative,Negative
POST01014,2025-11-02 07:00,2025-11,Instagram,e-commerce sale,Why is e-commerce sale so slow today? Getting really annoyed. 😡,2,14,Negative,Negative
POST01747,2025-12-19 03:00,2025-12,Instagram,e-commerce sale,"Absolutely loving the e-commerce sale, works flawlessly! #happy 🔥",11,30,Positive,Positive
POST01489,2025-04-09 19:00,2025-04,Twitter,cloud gaming service,"Extremely poor service from cloud gaming service, never again. 😡",6,0,Negative,Negative
POST00652,2025-02-04 02:00,2025-02,Facebook,online banking app,Comparing online banking app with other options currently available.,76,10,Positive,Neutral
POST00183,2025-11-09 12:00,2025-11,Twitter,streaming app,"The customer service for streaming app was fantastic, quick and helpful. 🔥",27,5,Positive,Positive
POST00171,2025-04-30 13:00,2025-04,YouTube,e-commerce sale,"Really disappointed with e-commerce sale, expected way better. 👎",6,10,Negative,Negative
POST01573,2025-08-29 21:00,2025-08,Twitter,food delivery app,"Feeling let down by food delivery app, it just doesn't work as promised. 😡",65,2,Negative,Negative
POST00592,2025-12-13 09:00,2025-12,Twitter,customer support,The customer support has some new features this month. 🤔,18,1,Neutral,Neutral
POST01897,2025-03-06 23:00,2025-03,YouTube,airline service,"Decent airline service, does the job but support could be faster.",0,14,Neutral,Neutral
POST01667,2025-07-16 15:00,2025-07,Facebook,electric car,The electric car has some new features this month. 🤔,10,2,Neutral,Neutral
POST00860,2025-06-27 08:00,2025-06,Facebook,e-commerce sale,Why is e-commerce sale so slow today? Getting really annoyed. 😞,5,4,Negative,Negative
POST00273,2025-11-27 21:00,2025-11,Twitter,streaming app,"Not happy at all with streaming app, total waste of money. 👎",6,0,Negative,Negative
POST01564,2025-06-23 17:00,2025-06,Instagram,online banking app,"Saw an ad for online banking app today, might check it out later. 🤔",5,1,Neutral,Neutral
POST01246,2025-06-29 09:00,2025-06,Facebook,online banking app,"The online banking app update ruined everything, please fix this asap. 😡",13,5,Negative,Negative
POST01324,2025-02-09 20:00,2025-02,Facebook,food delivery app,"The food delivery app exceeded my expectations, five stars from me.",91,6,Positive,Positive
POST00372,2025-04-26 09:00,2025-04,Facebook,online banking app,"Terrible customer support for online banking app, waited hours for a reply. 😞",10,3,Negative,Negative
POST00223,2025-08-09 14:00,2025-08,Instagram,electric car,"Huge shoutout to the team behind electric car, amazing job! ❤️",4,1,Positive,Positive
POST00728,2025-02-27 13:00,2025-02,YouTube,new movie release,"Great value for money with new movie release, totally worth it. 😊",0,2,Positive,Positive
POST01948,2025-12-23 13:00,2025-12,Instagram,new movie release,"Mixed feelings about new movie release, some parts great some not.",14,1,Neutral,Neutral
POST00786,2025-08-10 10:00,2025-08,YouTube,cloud gaming service,"Absolutely loving the cloud gaming service, works flawlessly! #happy ❤️",58,0,Positive,Positive
POST00519,2025-08-14 17:00,2025-08,Twitter,fitness tracker,"Huge shoutout to the team behind fitness tracker, amazing job! ❤️",5,7,Positive,Positive
POST00335,2025-11-11 17:00,2025-11,Facebook,streaming app,"The streaming app was launched today, here are the specifications. 🤔",15,6,Neutral,Neutral
POST00702,2025-03-27 02:00,2025-03,Facebook,fitness tracker,"Really disappointed with fitness tracker, expected way better. 👎",18,1,Negative,Negative
POST01177,2025-12-21 04:00,2025-12,YouTube,customer support,"Saw an ad for customer support today, might check it out later. 🤔",6,1,Neutral,Neutral
POST01593,2025-06-24 02:00,2025-06,YouTube,electric car,"Super smooth experience with electric car today, very happy customer here. 🔥",9,2,Positive,Positive
POST00906,2025-03-09 16:00,2025-03,Instagram,cloud gaming service,"Best cloud gaming service I've used so far, highly recommend it to everyone! 😊",25,29,Positive,Positive
POST00016,2025-01-29 07:00,2025-01,Facebook,cloud gaming service,"Really disappointed with cloud gaming service, expected way better. 👎",4,2,Negative,Negative
POST01774,2025-05-06 23:00,2025-05,Facebook,electric car,"Extremely poor service from electric car, never again. 😡",3,1,Negative,Negative
POST00850,2025-11-22 00:00,2025-11,YouTube,streaming app,"The streaming app keeps crashing, so frustrating to deal with. 😞",6,0,Negative,Negative
POST01554,2025-04-13 20:00,2025-04,Instagram,laptop brand,"Saw an ad for laptop brand today, might check it out later. 🤔",8,3,Neutral,Neutral
POST01702,2025-05-05 06:00,2025-05,Instagram,cloud gaming service,"Best cloud gaming service I've used so far, highly recommend it to everyone! 😊",9,0,Positive,Positive
POST00611,2025-12-24 11:00,2025-12,Facebook,e-commerce sale,"Attended a webinar about e-commerce sale, learned a few things. 🤔",11,3,Neutral,Neutral
POST01651,2025-06-25 07:00,2025-06,Facebook,food delivery app,"Huge shoutout to the team behind food delivery app, amazing job!",1,4,Positive,Positive
POST00466,2025-07-19 10:00,2025-07,Instagram,electric car,Here's a quick overview of the new electric car update. 🤔,6,1,Neutral,Neutral
POST00778,2025-09-21 16:00,2025-09,Facebook,fitness tracker,"Great value for money with fitness tracker, totally worth it. ❤️",23,9,Positive,Positive
POST00200,2025-02-25 21:00,2025-02,Facebook,cloud gaming service,"Huge shoutout to the team behind cloud gaming service, amazing job! ❤️",5,0,Positive,Positive
POST01217,2025-07-10 11:00,2025-07,Twitter,new smartphone,"The new smartphone update ruined everything, please fix this asap.",92,5,Negative,Negative
POST01064,2025-10-20 19:00,2025-10,Instagram,cloud gaming service,Comparing cloud gaming service with other options currently available. 🤔,4,9,Neutral,Neutral
POST01781,2025-01-30 11:00,2025-01,YouTube,new movie release,"Just started using new movie release, will share my thoughts soon.",35,0,Neutral,Neutral
POST01568,2025-09-27 19:00,2025-09,Instagram,cloud gaming service,"Can't stop recommending cloud gaming service to my friends, it's brilliant. 😊",27,7,Positive,Positive
POST01983,2025-02-17 00:00,2025-02,Twitter,food delivery app,"Decent food delivery app, does the job but support could be faster.",20,5,Neutral,Neutral
POST00734,2025-01-26 16:00,2025-01,Facebook,laptop brand,"Huge shoutout to the team behind laptop brand, amazing job!",94,0,Positive,Positive
POST01413,2025-12-10 14:00,2025-12,YouTube,laptop brand,"The customer service for laptop brand was fantastic, quick and helpful. 👍",36,9,Positive,Positive
POST01426,2025-08-01 15:00,2025-08,YouTube,cloud gaming service,"Feeling let down by cloud gaming service, it just doesn't work as promised. 👎",6,1,Negative,Negative
POST00675,2025-12-31 22:00,2025-12,Facebook,e-commerce sale,The e-commerce sale has some new features this month.,0,2,Neutral,Neutral
POST00937,2025-11-17 01:00,2025-11,Facebook,cloud gaming service,"Really disappointed with cloud gaming service, expected way better. 👎",15,1,Negative,Negative
POST00044,2025-02-08 14:00,2025-02,Instagram,new movie release,"Extremely poor service from new movie release, never again. 😡",6,1,Negative,Negative
POST00275,2025-04-26 04:00,2025-04,Instagram,new movie release,"Best new movie release I've used so far, highly recommend it to everyone! 😊",12,6,Positive,Positive
POST01107,2025-10-07 06:00,2025-10,YouTube,customer support,"Not sure yet what to think about customer support, still testing it out.",17,3,Neutral,Neutral
POST00102,2025-09-07 07:00,2025-09,Instagram,e-commerce sale,"Terrible customer support for e-commerce sale, waited hours for a reply.",15,14,Negative,Negative
POST01614,2025-08-01 07:00,2025-08,Instagram,e-commerce sale,"Best e-commerce sale I've used so far, highly recommend it to everyone!",77,24,Positive,Positive
POST01342,2025-03-15 03:00,2025-03,Instagram,customer support,"Not sure yet what to think about customer support, still testing it out. 🤔",13,6,Neutral,Neutral
POST01266,2025-03-12 16:00,2025-03,Twitter,streaming app,"Terrible customer support for streaming app, waited hours for a reply. 👎",9,0,Negative,Negative
POST00108,2025-02-11 15:00,2025-02,Facebook,customer support,"Really disappointed with customer support, expected way better. 😡",12,1,Negative,Negative
POST00694,2025-06-11 22:00,2025-06,Instagram,new movie release,"Not sure yet what to think about new movie release, still testing it out. 🤔",0,0,Neutral,Neutral
POST00498,2025-06-19 17:00,2025-06,Instagram,streaming app,"Can't stop recommending streaming app to my friends, it's brilliant. ❤️",6,0,Positive,Positive
POST02001,2025-06-17 04:00,2025-06,Twitter,food delivery app,"The food delivery app is okay I guess, nothing special but works.",3,0,Neutral,Neutral
POST01834,2025-04-18 17:00,2025-04,Instagram,new smartphone,"Decent new smartphone, does the job but support could be faster.",15,7,Neutral,Neutral
POST01336,2025-01-15 08:00,2025-01,Instagram,online banking app,"The online banking app exceeded my expectations, five stars from me.",11,4,Positive,Positive
POST01882,2025-03-13 09:00,2025-03,Facebook,laptop brand,"The laptop brand is okay I guess, nothing special but works.",3,1,Neutral,Neutral
POST01117,2025-08-27 16:00,2025-08,Facebook,streaming app,"Just tried the streaming app and I'm impressed, great experience overall.",6,1,Positive,Positive
POST01461,2025-09-24 10:00,2025-09,Facebook,airline service,"Best airline service I've used so far, highly recommend it to everyone! 😊",1,6,Positive,Positive
POST00621,2025-07-13 09:00,2025-07,Instagram,food delivery app,The food delivery app has some new features this month. 🤔,12,0,Neutral,Neutral
POST01772,2025-09-21 21:00,2025-09,YouTube,new movie release,"Read an article about new movie release today, fairly informative. 🤔",8,2,Neutral,Neutral
POST00073,2025-02-05 08:00,2025-02,Facebook,laptop brand,"Super smooth experience with laptop brand today, very happy customer here.",34,8,Positive,Positive
POST01512,2025-08-10 06:00,2025-08,Facebook,electric car,"The customer service for electric car was fantastic, quick and helpful.",20,7,Positive,Positive
POST01236,2025-08-31 09:00,2025-08,Facebook,laptop brand,"Attended a webinar about laptop brand, learned a few things. 🤔",16,1,Neutral,Neutral
POST01178,2025-09-25 14:00,2025-09,Facebook,cloud gaming service,Comparing cloud gaming service with other options currently available. 🤔,4,1,Neutral,Neutral
POST00905,2025-05-07 23:00,2025-05,Instagram,online banking app,"The online banking app exceeded my expectations, five stars from me. ❤️",11,0,Positive,Positive
POST00482,2025-10-16 06:00,2025-10,Twitter,laptop brand,"Feeling let down by laptop brand, it just doesn't work as promised. 😞",24,0,Negative,Negative
POST01515,2025-12-21 04:00,2025-12,Twitter,laptop brand,"Absolutely loving the laptop brand, works flawlessly! #happy",8,4,Positive,Positive
POST00507,2025-12-11 04:00,2025-12,Twitter,e-commerce sale,"Super smooth experience with e-commerce sale today, very happy customer here. 😊",65,0,Positive,Positive
POST01112,2025-11-16 05:00,2025-11,YouTube,electric car,"Great value for money with electric car, totally worth it.",55,11,Positive,Positive
POST01643,2025-11-22 22:00,2025-11,Instagram,laptop brand,"The laptop brand broke down after just one week, very poor quality.",3,5,Negative,Negative
POST02010,2025-07-11 20:00,2025-07,Facebook,food delivery app,"Mixed feelings about food delivery app, some parts great some not.",26,2,Neutral,Neutral
POST01197,2025-10-23 17:00,2025-10,Instagram,cloud gaming service,"Huge shoutout to the team behind cloud gaming service, amazing job! 😊",5,24,Positive,Positive
POST01252,2025-07-15 09:00,2025-07,Instagram,food delivery app,"Extremely poor service from food delivery app, never again.",3,0,Negative,Negative
POST01840,2025-12-19 12:00,2025-12,Twitter,fitness tracker,"The fitness tracker is okay I guess, nothing special but works.",14,1,Neutral,Neutral
POST00312,2025-03-27 22:00,2025-03,YouTube,e-commerce sale,"The e-commerce sale update ruined everything, please fix this asap. 👎",2,1,Negative,Negative
POST00837,2025-11-05 17:00,2025-11,Instagram,new movie release,"Just started using new movie release, will share my thoughts soon.",26,0,Neutral,Neutral
POST00406,2025-10-14 14:00,2025-10,Twitter,e-commerce sale,"The e-commerce sale exceeded my expectations, five stars from me. 😊",2,9,Positive,Positive
POST00705,2025-01-10 07:00,2025-01,YouTube,streaming app,"Huge shoutout to the team behind streaming app, amazing job! 🔥",56,8,Positive,Positive
POST01742,2025-12-01 05:00,2025-12,Instagram,e-commerce sale,"Just tried the e-commerce sale and I'm impressed, great experience overall.",12,0,Neutral,Positive
POST00310,2025-10-07 09:00,2025-10,Instagram,customer support,"The customer support broke down after just one week, very poor quality. 😡",12,1,Negative,Negative
POST00227,2025-07-10 04:00,2025-07,Twitter,customer support,"Read an article about customer support today, fairly informative. 🤔",24,6,Neutral,Neutral
POST01832,2025-10-01 07:00,2025-10,Twitter,food delivery app,Loved the food delivery app at first but the recent update is buggy.,0,1,Negative,Negative
POST01835,2025-11-20 19:00,2025-11,Facebook,new smartphone,"The new smartphone is okay I guess, nothing special but works.",18,1,Neutral,Neutral
POST01543,2025-07-25 03:00,2025-07,YouTube,online banking app,"The customer service for online banking app was fantastic, quick and helpful. ❤️",17,8,Positive,Positive
POST00835,2025-03-18 19:00,2025-03,YouTube,food delivery app,"The food delivery app keeps crashing, so frustrating to deal with. 😞",37,0,Negative,Negative
POST01605,2025-07-08 16:00,2025-07,Twitter,new movie release,"Absolutely loving the new movie release, works flawlessly! #happy 🔥",17,11,Positive,Positive
POST00149,2025-08-28 22:00,2025-08,Twitter,new movie release,The new movie release has some new features this month.,35,17,Neutral,Neutral
POST00631,2025-06-13 08:00,2025-06,Twitter,online banking app,"Just tried the online banking app and I'm impressed, great experience overall. 😊",12,12,Positive,Positive
POST00721,2025-02-18 01:00,2025-02,Twitter,electric car,"Really disappointed with electric car, expected way better. 😞",11,1,Negative,Negative
POST01958,2025-07-06 00:00,2025-07,Facebook,new smartphone,"The new smartphone is fine, price is a bit high though.",11,1,Neutral,Neutral
POST01396,2025-10-08 19:00,2025-10,Twitter,new smartphone,"Not happy at all with new smartphone, total waste of money. 😡",1,3,Positive,Negative
POST00846,2025-04-02 11:00,2025-04,YouTube,fitness tracker,"Read an article about fitness tracker today, fairly informative.",16,0,Neutral,Neutral
POST00576,2025-05-30 18:00,2025-05,Instagram,laptop brand,"The laptop brand exceeded my expectations, five stars from me.",17,45,Positive,Positive
POST00558,2025-05-23 02:00,2025-05,Instagram,cloud gaming service,The cloud gaming service has some new features this month. 🤔,24,6,Neutral,Neutral
POST01473,2025-03-25 04:00,2025-03,YouTube,electric car,"Extremely poor service from electric car, never again. 😞",0,1,Negative,Negative
POST01166,2025-09-08 20:00,2025-09,Instagram,electric car,"Absolutely loving the electric car, works flawlessly! #happy ❤️",49,17,Positive,Positive
POST01359,2025-12-18 18:00,2025-12,Instagram,online banking app,"The online banking app broke down after just one week, very poor quality. 👎",10,2,Negative,Negative
POST01704,2025-05-12 21:00,2025-05,Instagram,online banking app,The online banking app is scheduled for release next week. 🤔,42,8,Neutral,Neutral
POST00629,2025-10-07 12:00,2025-10,Facebook,customer support,"Just tried the customer support and I'm impressed, great experience overall. ❤️",15,0,Positive,Positive
POST00969,2025-08-24 11:00,2025-08,Twitter,airline service,"Worst experience ever with airline service, would not recommend. 😞",0,14,Negative,Negative
POST00287,2025-01-28 12:00,2025-01,YouTube,new smartphone,"Extremely poor service from new smartphone, never again. 👎",0,5,Negative,Negative
POST01619,2025-08-19 05:00,2025-08,YouTube,laptop brand,"Terrible customer support for laptop brand, waited hours for a reply. 😞",2,0,Negative,Negative
POST00746,2025-02-25 13:00,2025-02,Facebook,food delivery app,"Really disappointed with food delivery app, expected way better. 😡",26,0,Negative,Negative
POST00599,2025-07-22 15:00,2025-07,YouTube,streaming app,"Absolutely loving the streaming app, works flawlessly! #happy ❤️",2,10,Positive,Positive
POST00943,2025-10-06 11:00,2025-10,Instagram,e-commerce sale,Here's a quick overview of the new e-commerce sale update.,1,2,Neutral,Neutral
POST00808,2025-02-08 00:00,2025-02,Twitter,online banking app,"Really impressed by how well online banking app performs, well done! 😊",35,4,Positive,Positive
POST01652,2025-12-18 22:00,2025-12,Instagram,new smartphone,Why is new smartphone so slow today? Getting really annoyed.,7,5,Negative,Negative
POST01602,2025-01-17 22:00,2025-01,Instagram,airline service,"The customer service for airline service was fantastic, quick and helpful. ❤️",43,6,Positive,Positive
POST01714,2025-06-01 07:00,2025-06,Instagram,laptop brand,The laptop brand is scheduled for release next week.,10,0,Neutral,Neutral
POST01241,2025-05-23 06:00,2025-05,Instagram,fitness tracker,"Absolutely loving the fitness tracker, works flawlessly! #happy 😊",44,21,Positive,Positive
POST01609,2025-10-28 06:00,2025-10,Facebook,streaming app,"Extremely poor service from streaming app, never again.",2,4,Negative,Negative
POST00915,2025-10-08 11:00,2025-10,Twitter,food delivery app,"Huge shoutout to the team behind food delivery app, amazing job! ❤️",3,7,Positive,Positive
POST00890,2025-12-20 05:00,2025-12,Twitter,customer support,"Really disappointed with customer support, expected way better. 😞",16,1,Negative,Negative
POST01784,2025-04-12 02:00,2025-04,YouTube,customer support,"Extremely poor service from customer support, never again. 😞",15,21,Negative,Negative
POST01404,2025-02-17 01:00,2025-02,YouTube,cloud gaming service,"Really impressed by how well cloud gaming service performs, well done! 👍",2,7,Positive,Positive
