post_id,date,platform,topic,text,likes,retweets,sentiment
POST00716,2025-06-19 07:00,YouTube,electric car,"Just started using electric car, will share my thoughts soon. 🤔",7,1,Neutral
POST00586,2025-06-12 14:00,Facebook,customer support,The customer support has some new features this month. 🤔,38,2,Neutral
POST01615,2025-08-23 12:00,YouTube,electric car,"Best electric car I've used so far, highly recommend it to everyone!",1,1,Positive
POST01024,2025-09-22 20:00,YouTube,fitness tracker,"Really disappointed with fitness tracker, expected way better. 😞",14,3,Negative
POST01953,2025-12-12 13:00,Twitter,laptop brand,"Mixed feelings about laptop brand, some parts great some not.",24,1,Neutral
POST01603,2025-04-12 02:00,Instagram,new smartphone,"Can't stop recommending new smartphone to my friends, it's brilliant. 👍",77,2,Positive
POST01346,2025-07-08 09:00,YouTube,laptop brand,"Just started using laptop brand, will share my thoughts soon. 🤔",45,6,Neutral
POST00176,2025-06-23 19:00,Facebook,new movie release,"Not happy at all with new movie release, total waste of money. 😡",6,1,Negative
POST00866,2025-05-13 02:00,Twitter,new movie release,Comparing new movie release with other options currently available. 🤔,3,2,Neutral
POST01462,2025-05-04 09:00,Facebook,new smartphone,"Not happy at all with new smartphone, total waste of money. 😡",25,3,Positive
POST01625,2025-01-10 19:00,Instagram,streaming app,"Just tried the streaming app and I'm impressed, great experience overall. 🔥",6,2,Positive
POST00124,2025-09-22 06:00,Twitter,fitness tracker,"Just tried the fitness tracker and I'm impressed, great experience overall. 🔥",2,0,Positive
POST00368,2025-02-01 22:00,YouTube,fitness tracker,"Not sure yet what to think about fitness tracker, still testing it out. 🤔",25,10,Neutral
POST01740,2025-04-03 19:00,Twitter,food delivery app,"Not sure yet what to think about food delivery app, still testing it out. 🤔",3,0,Neutral
POST00568,2025-07-08 05:00,Instagram,e-commerce sale,"Terrible customer support for e-commerce sale, waited hours for a reply. 😡",4,2,Negative
POST00040,2025-12-04 13:00,Twitter,airline service,"Super smooth experience with airline service today, very happy customer here. ❤️",55,6,Positive
POST01339,2025-05-01 03:00,Instagram,customer support,"Feeling let down by customer support, it just doesn't work as promised. 😡",3,8,Negative
POST00989,2025-02-27 23:00,Twitter,electric car,"Just started using electric car, will share my thoughts soon. 🤔",14,5,Neutral
POST00332,2025-09-15 01:00,YouTube,streaming app,"The streaming app keeps crashing, so frustrating to deal with. 😞",5,0,Negative
POST01801,2025-04-28 03:00,Instagram,e-commerce sale,Loved the e-commerce sale at first but the recent update is buggy.,2,13,Negative
POST00195,2025-03-09 17:00,Instagram,streaming app,"The streaming app broke down after just one week, very poor quality. 👎",4,4,Negative
POST01998,2025-03-23 16:00,Twitter,new movie release,"Decent new movie release, does the job but support could be faster.",6,6,Neutral
POST00479,2025-11-05 22:00,Facebook,online banking app,"Huge shoutout to the team behind online banking app, amazing job! ❤️",0,2,Positive
POST01730,2025-06-04 22:00,YouTube,customer support,"The customer service for customer support was fantastic, quick and helpful. 🔥",69,2,Positive
POST00323,2025-08-20 05:00,Twitter,streaming app,"The streaming app update ruined everything, please fix this asap. 😡",4,3,Negative
POST01207,2025-08-21 14:00,Twitter,electric car,"Not sure yet what to think about electric car, still testing it out.",2,4,Neutral
POST00267,2025-05-25 12:00,Facebook,laptop brand,"Not happy at all with laptop brand, total waste of money. 👎",30,4,Negative
POST01548,2025-07-01 13:00,Facebook,cloud gaming service,"Great value for money with cloud gaming service, totally worth it.",48,1,Positive
POST01443,2025-08-13 14:00,Twitter,electric car,"Just tried the electric car and I'm impressed, great experience overall. 😊",101,0,Positive
POST00068,2025-11-14 23:00,YouTube,laptop brand,"Best laptop brand I've used so far, highly recommend it to everyone! 🔥",4,18,Positive
POST00963,2025-07-10 13:00,Facebook,laptop brand,"Not happy at all with laptop brand, total waste of money. 👎",6,6,Negative
POST01145,2025-05-22 13:00,YouTube,cloud gaming service,Here's a quick overview of the new cloud gaming service update.,7,4,Neutral
POST01870,2025-01-02 04:00,Twitter,online banking app,"Decent online banking app, does the job but support could be faster.",7,2,Neutral
POST00818,2025-05-15 18:00,Facebook,electric car,"Read an article about electric car today, fairly informative. 🤔",9,1,Negative
POST01182,2025-08-26 20:00,Instagram,laptop brand,"Huge shoutout to the team behind laptop brand, amazing job! 👍",49,1,Positive
POST00483,2025-08-25 22:00,Twitter,cloud gaming service,Why is cloud gaming service so slow today? Getting really annoyed.,21,11,Negative
POST01424,2025-08-19 18:00,Twitter,new movie release,"Saw an ad for new movie release today, might check it out later. 🤔",12,12,Negative
POST00950,2025-01-23 04:00,Twitter,fitness tracker,"Best fitness tracker I've used so far, highly recommend it to everyone! 😊",20,3,Positive
POST00833,2025-08-21 19:00,Facebook,streaming app,"Feeling let down by streaming app, it just doesn't work as promised. 😡",24,15,Negative
POST01259,2025-12-22 03:00,YouTube,online banking app,"The online banking app broke down after just one week, very poor quality. 😡",32,6,Negative
POST01199,2025-08-08 23:00,Twitter,online banking app,Why is online banking app so slow today? Getting really annoyed. 😞,12,1,Negative
POST01743,2025-02-13 03:00,Twitter,online banking app,"Extremely poor service from online banking app, never again. 👎",25,0,Negative
POST01924,2025-05-13 15:00,YouTube,streaming app,"The streaming app is okay I guess, nothing special but works.",0,5,Neutral
POST00693,2025-04-13 10:00,Instagram,streaming app,"Can't stop recommending streaming app to my friends, it's brilliant.",15,33,Positive
POST01852,2025-03-09 07:00,Twitter,cloud gaming service,"The cloud gaming service is okay I guess, nothing special but works.",2,2,Neutral
POST01552,2025-07-08 00:00,Facebook,laptop brand,"Read an article about laptop brand today, fairly informative. 🤔",5,0,Neutral
POST00619,2025-03-22 23:00,Instagram,laptop brand,Comparing laptop brand with other options currently available.,3,5,Neutral
POST01545,2025-06-23 20:00,Twitter,e-commerce sale,"Just started using e-commerce sale, will share my thoughts soon.",23,0,Neutral
POST01594,2025-04-18 14:00,YouTube,customer support,"Great value for money with customer support, totally worth it.",1,1,Positive
POST01674,2025-01-07 03:00,Instagram,e-commerce sale,"The e-commerce sale was launched today, here are the specifications.",13,2,Neutral
POST01933,2025-06-28 14:00,Twitter,new movie release,"Mixed feelings about new movie release, some parts great some not.",9,6,Neutral
POST00737,2025-12-01 00:00,YouTube,airline service,"Just tried the airline service and I'm impressed, great experience overall. ❤️",60,11,Positive
POST00539,2025-12-25 07:00,Facebook,customer support,"Can't stop recommending customer support to my friends, it's brilliant. 😊",27,41,Positive
POST00856,2025-12-12 01:00,Instagram,e-commerce sale,"Super smooth experience with e-commerce sale today, very happy customer here. 🔥",6,2,Positive
POST01331,2025-06-13 02:00,YouTube,customer support,"Huge shoutout to the team behind customer support, amazing job! ❤️",5,11,Positive
POST00924,2025-04-22 10:00,YouTube,new smartphone,"Not happy at all with new smartphone, total waste of money. 👎",0,1,Negative
POST00262,2025-11-11 19:00,Twitter,airline service,"Really impressed by how well airline service performs, well done! ❤️",5,19,Positive
POST01291,2025-09-25 21:00,YouTube,customer support,"Just tried the customer support and I'm impressed, great experience overall. 😊",5,1,Positive
POST00980,2025-09-01 18:00,Twitter,laptop brand,"Really disappointed with laptop brand, expected way better.",36,0,Negative
POST00241,2025-09-20 03:00,Instagram,online banking app,Here's a quick overview of the new online banking app update.,2,0,Neutral
POST01223,2025-08-31 11:00,Instagram,customer support,Comparing customer support with other options currently available.,2,0,Neutral
POST01074,2025-11-24 06:00,Facebook,new smartphone,Here's a quick overview of the new new smartphone update. 🤔,8,0,Neutral
POST01956,2025-11-04 12:00,Instagram,customer support,Loved the customer support at first but the recent update is buggy.,1,13,Negative
POST01620,2025-08-25 00:00,Twitter,fitness tracker,"The fitness tracker was launched today, here are the specifications.",29,8,Neutral
POST01270,2025-06-09 22:00,Facebook,new movie release,"Super smooth experience with new movie release today, very happy customer here. 🔥",1,0,Positive
POST00366,2025-04-08 00:00,Twitter,e-commerce sale,"Great value for money with e-commerce sale, totally worth it. 👍",6,1,Positive
POST01861,2025-08-07 12:00,Instagram,new smartphone,Loved the new smartphone at first but the recent update is buggy.,17,3,Negative
POST01828,2025-01-02 05:00,Instagram,food delivery app,"Decent food delivery app, does the job but support could be faster.",12,0,Neutral
POST01786,2025-07-22 11:00,YouTube,food delivery app,"Terrible customer support for food delivery app, waited hours for a reply. 👎",2,15,Negative
POST00744,2025-07-29 03:00,Instagram,new movie release,"The new movie release exceeded my expectations, five stars from me.",33,0,Positive
POST00953,2025-04-24 19:00,Facebook,new smartphone,"Just tried the new smartphone and I'm impressed, great experience overall. 😊",0,0,Positive
POST00585,2025-05-02 09:00,Instagram,customer support,"The customer support exceeded my expectations, five stars from me. 👍",6,29,Positive
POST00072,2025-04-25 00:00,Instagram,online banking app,"Huge shoutout to the team behind online banking app, amazing job! ❤️",31,2,Positive
POST01960,2025-06-30 11:00,YouTube,customer support,"Mixed feelings about customer support, some parts great some not.",0,0,Neutral
POST00260,2025-06-30 16:00,Twitter,e-commerce sale,"The e-commerce sale was launched today, here are the specifications.",15,4,Neutral
POST00052,2025-10-24 19:00,Instagram,e-commerce sale,"Really disappointed with e-commerce sale, expected way better. 😡",50,1,Negative
POST00199,2025-12-11 23:00,Facebook,new movie release,The new movie release has some new features this month.,7,4,Neutral
POST00496,2025-01-23 22:00,Facebook,airline service,"Just tried the airline service and I'm impressed, great experience overall. 😊",12,9,Positive
POST01477,2025-10-20 09:00,Facebook,airline service,"Absolutely loving the airline service, works flawlessly! #happy",39,9,Positive
POST00333,2025-03-24 10:00,Instagram,online banking app,"Saw an ad for online banking app today, might check it out later.",1,12,Neutral
POST01927,2025-08-14 11:00,Instagram,e-commerce sale,"Mixed feelings about e-commerce sale, some parts great some not.",2,1,Neutral
POST01722,2025-12-25 17:00,Instagram,electric car,"Not happy at all with electric car, total waste of money. 😡",1,16,Negative
POST01162,2025-09-08 12:00,Instagram,new smartphone,"The new smartphone was launched today, here are the specifications.",10,3,Neutral
POST00480,2025-07-23 10:00,Instagram,laptop brand,"Terrible customer support for laptop brand, waited hours for a reply.",2,4,Negative
POST00965,2025-07-04 14:00,Facebook,fitness tracker,The fitness tracker is scheduled for release next week.,12,0,Neutral
POST00910,2025-06-27 15:00,Facebook,fitness tracker,"Really impressed by how well fitness tracker performs, well done! 🔥",7,5,Positive
POST01348,2025-06-08 20:00,YouTube,fitness tracker,"Super smooth experience with fitness tracker today, very happy customer here. 😊",15,7,Positive
POST00707,2025-07-12 20:00,Twitter,laptop brand,"The laptop brand exceeded my expectations, five stars from me.",53,13,Positive
POST00427,2025-07-18 07:00,Instagram,fitness tracker,"The fitness tracker exceeded my expectations, five stars from me. 🔥",17,7,Neutral
POST01526,2025-02-03 18:00,Instagram,cloud gaming service,"Best cloud gaming service I've used so far, highly recommend it to everyone! 😊",13,1,Positive
POST00451,2025-02-17 12:00,Twitter,cloud gaming service,Comparing cloud gaming service with other options currently available.,10,2,Neutral
POST01627,2025-12-13 08:00,Twitter,airline service,"Best airline service I've used so far, highly recommend it to everyone! ❤️",43,1,Positive
POST01517,2025-07-21 17:00,YouTube,fitness tracker,"The fitness tracker keeps crashing, so frustrating to deal with. 😡",19,10,Negative
POST01997,2025-03-02 10:00,Twitter,cloud gaming service,"The cloud gaming service is fine, price is a bit high though.",33,9,Neutral
POST01288,2025-08-22 19:00,Facebook,customer support,"Terrible customer support for customer support, waited hours for a reply.",5,1,Negative
POST01739,2025-09-23 18:00,Twitter,new movie release,"Really impressed by how well new movie release performs, well done! 😊",23,4,Positive
POST00399,2025-08-01 22:00,Facebook,electric car,"Really impressed by how well electric car performs, well done! ❤️",51,29,Positive
POST00974,2025-02-10 01:00,YouTube,electric car,"Super smooth experience with electric car today, very happy customer here. 👍",9,9,Positive
POST00437,2025-10-11 18:00,Facebook,new smartphone,"The customer service for new smartphone was fantastic, quick and helpful. ❤️",42,0,Positive
POST00193,2025-06-08 14:00,Twitter,cloud gaming service,"Absolutely loving the cloud gaming service, works flawlessly! #happy",65,5,Positive
POST01448,2025-01-04 07:00,YouTube,new movie release,"Great value for money with new movie release, totally worth it. 👍",42,14,Positive
POST00620,2025-03-31 22:00,Facebook,cloud gaming service,"Extremely poor service from cloud gaming service, never again. 👎",22,5,Negative
POST00293,2025-05-03 13:00,Twitter,airline service,"Feeling let down by airline service, it just doesn't work as promised.",12,0,Negative
POST01942,2025-12-17 13:00,Twitter,food delivery app,"The food delivery app is okay I guess, nothing special but works.",24,0,Neutral
POST01775,2025-03-28 21:00,YouTube,e-commerce sale,"Extremely poor service from e-commerce sale, never again. 😞",80,0,Negative
POST01290,2025-04-02 00:00,Facebook,new movie release,"The new movie release update ruined everything, please fix this asap. 😡",12,0,Negative
POST01779,2025-09-05 09:00,Facebook,online banking app,The online banking app has some new features this month. 🤔,34,1,Neutral
POST01655,2025-03-30 18:00,Twitter,streaming app,"Really impressed by how well streaming app performs, well done! 🔥",34,5,Positive
POST00142,2025-05-16 21:00,Instagram,food delivery app,"The food delivery app keeps crashing, so frustrating to deal with. 😞",0,3,Negative
POST01492,2025-02-13 17:00,YouTube,electric car,"The customer service for electric car was fantastic, quick and helpful. 👍",27,5,Positive
POST00003,2025-01-17 00:00,YouTube,e-commerce sale,"Just tried the e-commerce sale and I'm impressed, great experience overall. 🔥",50,7,Neutral
POST01681,2025-08-09 05:00,Facebook,cloud gaming service,"Not sure yet what to think about cloud gaming service, still testing it out.",10,0,Neutral
POST01890,2025-09-28 22:00,Instagram,electric car,"Mixed feelings about electric car, some parts great some not.",24,2,Neutral
POST01320,2025-09-12 20:00,Instagram,customer support,"The customer support keeps crashing, so frustrating to deal with. 😞",0,0,Negative
POST00340,2025-06-02 14:00,YouTube,cloud gaming service,"The cloud gaming service keeps crashing, so frustrating to deal with. 😡",29,0,Neutral
POST00638,2025-05-31 21:00,Twitter,customer support,"Attended a webinar about customer support, learned a few things.",67,1,Neutral
POST01284,2025-08-06 06:00,YouTube,laptop brand,"Really impressed by how well laptop brand performs, well done! 🔥",13,0,Positive
POST00582,2025-04-29 16:00,Twitter,airline service,"Can't stop recommending airline service to my friends, it's brilliant. 👍",13,5,Positive
POST00266,2025-08-13 16:00,YouTube,food delivery app,"Read an article about food delivery app today, fairly informative. 🤔",32,3,Neutral
POST00377,2025-10-03 08:00,Instagram,food delivery app,"Really impressed by how well food delivery app performs, well done! 👍",7,10,Positive
POST00695,2025-11-20 05:00,Facebook,new movie release,"The new movie release broke down after just one week, very poor quality. 😡",28,3,Negative
POST01179,2025-11-02 05:00,Twitter,streaming app,"Great value for money with streaming app, totally worth it.",3,2,Positive
POST00440,2025-08-24 05:00,YouTube,new movie release,Here's a quick overview of the new new movie release update. 🤔,1,0,Neutral
POST00272,2025-06-08 17:00,Twitter,e-commerce sale,Comparing e-commerce sale with other options currently available.,24,2,Neutral
POST00185,2025-08-27 09:00,Twitter,online banking app,"Extremely poor service from online banking app, never again. 😞",9,8,Negative
POST00951,2025-09-06 06:00,Twitter,food delivery app,"The food delivery app keeps crashing, so frustrating to deal with. 😡",3,0,Negative
POST00245,2025-06-17 03:00,Facebook,online banking app,"Really disappointed with online banking app, expected way better.",8,1,Negative
POST01660,2025-08-05 16:00,YouTube,new movie release,"The customer service for new movie release was fantastic, quick and helpful. ❤️",0,0,Positive
POST00527,2025-12-31 10:00,Instagram,food delivery app,Why is food delivery app so slow today? Getting really annoyed.,9,1,Negative
POST00446,2025-01-09 16:00,Twitter,customer support,"Terrible customer support for customer support, waited hours for a reply. 👎",2,4,Negative
POST00917,2025-05-15 02:00,Instagram,customer support,Comparing customer support with other options currently available. 🤔,12,1,Neutral
POST01341,2025-10-27 23:00,Facebook,laptop brand,"Not happy at all with laptop brand, total waste of money. 😞",3,4,Negative
POST00597,2025-04-12 20:00,Twitter,new smartphone,"Great value for money with new smartphone, totally worth it. 🔥",18,1,Positive
POST00922,2025-02-22 09:00,Instagram,new smartphone,"Terrible customer support for new smartphone, waited hours for a reply. 😞",1,12,Negative
POST01537,2025-02-25 15:00,Instagram,online banking app,"Saw an ad for online banking app today, might check it out later.",5,1,Neutral
POST01971,2025-11-27 22:00,YouTube,new movie release,"Decent new movie release, does the job but support could be faster.",22,3,Neutral
POST00416,2025-11-11 00:00,YouTube,new smartphone,Why is new smartphone so slow today? Getting really annoyed. 😞,1,0,Positive
POST00274,2025-06-08 05:00,Facebook,new smartphone,"Huge shoutout to the team behind new smartphone, amazing job! 👍",40,0,Positive
POST01308,2025-09-17 01:00,Instagram,new movie release,"Not happy at all with new movie release, total waste of money. 👎",18,1,Negative
POST01977,2025-04-09 19:00,YouTube,food delivery app,"Mixed feelings about food delivery app, some parts great some not.",1,6,Neutral
POST01468,2025-07-04 14:00,Instagram,laptop brand,"The laptop brand keeps crashing, so frustrating to deal with. 😞",3,1,Negative
POST00251,2025-02-15 13:00,Facebook,electric car,"Just tried the electric car and I'm impressed, great experience overall. 🔥",70,7,Positive
POST00414,2025-09-30 12:00,YouTube,new movie release,"Huge shoutout to the team behind new movie release, amazing job! 🔥",50,11,Positive
POST01209,2025-09-29 01:00,Facebook,customer support,"The customer support exceeded my expectations, five stars from me. ❤️",7,0,Negative
POST01319,2025-03-27 19:00,Facebook,new movie release,"The new movie release exceeded my expectations, five stars from me. 👍",50,20,Positive
POST00594,2025-02-22 04:00,YouTube,airline service,"The airline service was launched today, here are the specifications. 🤔",0,9,Neutral
POST00311,2025-12-05 09:00,Facebook,airline service,"The airline service exceeded my expectations, five stars from me. ❤️",45,33,Positive
POST01943,2025-02-12 04:00,Instagram,online banking app,"Decent online banking app, does the job but support could be faster.",1,5,Neutral
POST00382,2025-09-02 20:00,YouTube,cloud gaming service,Why is cloud gaming service so slow today? Getting really annoyed. 👎,3,8,Negative
POST01622,2025-02-28 22:00,Facebook,new smartphone,"Best new smartphone I've used so far, highly recommend it to everyone! 👍",9,8,Negative
POST00426,2025-10-15 13:00,Twitter,new movie release,"Can't stop recommending new movie release to my friends, it's brilliant.",6,34,Positive
POST01895,2025-10-20 16:00,Facebook,electric car,"The electric car is fine, price is a bit high though.",26,4,Neutral
POST00536,2025-08-08 06:00,Twitter,new movie release,"Worst experience ever with new movie release, would not recommend. 👎",0,6,Negative
POST00760,2025-04-15 17:00,Facebook,new smartphone,"Really disappointed with new smartphone, expected way better. 👎",12,0,Negative
POST01510,2025-01-24 05:00,Facebook,e-commerce sale,"Read an article about e-commerce sale today, fairly informative. 🤔",10,0,Neutral
POST01886,2025-12-06 18:00,Twitter,new smartphone,"Decent new smartphone, does the job but support could be faster.",37,0,Neutral
POST00409,2025-08-30 01:00,Twitter,new smartphone,"Terrible customer support for new smartphone, waited hours for a reply.",12,2,Negative
POST01629,2025-11-22 16:00,Twitter,new movie release,"Just tried the new movie release and I'm impressed, great experience overall. ❤️",53,3,Positive
POST01829,2025-09-20 14:00,Twitter,food delivery app,"The food delivery app is fine, price is a bit high though.",4,1,Neutral
POST01788,2025-03-24 04:00,YouTube,cloud gaming service,"Super smooth experience with cloud gaming service today, very happy customer here. ❤️",19,9,Positive
POST00553,2025-07-04 10:00,Twitter,airline service,"Worst experience ever with airline service, would not recommend.",4,2,Negative
POST01014,2025-11-02 07:00,Instagram,e-commerce sale,Why is e-commerce sale so slow today? Getting really annoyed. 😡,2,14,Negative
POST01747,2025-12-19 03:00,Instagram,e-commerce sale,"Absolutely loving the e-commerce sale, works flawlessly! #happy 🔥",11,30,Positive
POST01489,2025-04-09 19:00,Twitter,cloud gaming service,"Extremely poor service from cloud gaming service, never again. 😡",6,0,Negative
POST00652,2025-02-04 02:00,Facebook,online banking app,Comparing online banking app with other options currently available.,76,10,Positive
POST00183,2025-11-09 12:00,Twitter,streaming app,"The customer service for streaming app was fantastic, quick and helpful. 🔥",27,5,Positive
POST00171,2025-04-30 13:00,YouTube,e-commerce sale,"Really disappointed with e-commerce sale, expected way better. 👎",6,10,Negative
POST01573,2025-08-29 21:00,Twitter,food delivery app,"Feeling let down by food delivery app, it just doesn't work as promised. 😡",65,2,Negative
POST00592,2025-12-13 09:00,Twitter,customer support,The customer support has some new features this month. 🤔,18,1,Neutral
POST01897,2025-03-06 23:00,YouTube,airline service,"Decent airline service, does the job but support could be faster.",0,14,Neutral
POST01667,2025-07-16 15:00,Facebook,electric car,The electric car has some new features this month. 🤔,10,2,Neutral
POST00860,2025-06-27 08:00,Facebook,e-commerce sale,Why is e-commerce sale so slow today? Getting really annoyed. 😞,5,4,Negative
POST00273,2025-11-27 21:00,Twitter,streaming app,"Not happy at all with streaming app, total waste of money. 👎",6,0,Negative
POST01564,2025-06-23 17:00,Instagram,online banking app,"Saw an ad for online banking app today, might check it out later. 🤔",5,1,Neutral
POST01246,2025-06-29 09:00,Facebook,online banking app,"The online banking app update ruined everything, please fix this asap. 😡",13,5,Negative
POST01324,2025-02-09 20:00,Facebook,food delivery app,"The food delivery app exceeded my expectations, five stars from me.",91,6,Positive
POST00372,2025-04-26 09:00,Facebook,online banking app,"Terrible customer support for online banking app, waited hours for a reply. 😞",10,3,Negative
POST00223,2025-08-09 14:00,Instagram,electric car,"Huge shoutout to the team behind electric car, amazing job! ❤️",4,1,Positive
POST00728,2025-02-27 13:00,YouTube,new movie release,"Great value for money with new movie release, totally worth it. 😊",0,2,Positive
POST01948,2025-12-23 13:00,Instagram,new movie release,"Mixed feelings about new movie release, some parts great some not.",14,1,Neutral
POST00786,2025-08-10 10:00,YouTube,cloud gaming service,"Absolutely loving the cloud gaming service, works flawlessly! #happy ❤️",58,0,Positive
POST00519,2025-08-14 17:00,Twitter,fitness tracker,"Huge shoutout to the team behind fitness tracker, amazing job! ❤️",5,7,Positive
POST00335,2025-11-11 17:00,Facebook,streaming app,"The streaming app was launched today, here are the specifications. 🤔",15,6,Neutral
POST00702,2025-03-27 02:00,Facebook,fitness tracker,"Really disappointed with fitness tracker, expected way better. 👎",18,1,Negative
POST01177,2025-12-21 04:00,YouTube,customer support,"Saw an ad for customer support today, might check it out later. 🤔",6,1,Neutral
POST01593,2025-06-24 02:00,YouTube,electric car,"Super smooth experience with electric car today, very happy customer here. 🔥",9,2,Positive
POST00906,2025-03-09 16:00,Instagram,cloud gaming service,"Best cloud gaming service I've used so far, highly recommend it to everyone! 😊",25,29,Positive
POST00016,2025-01-29 07:00,Facebook,cloud gaming service,"Really disappointed with cloud gaming service, expected way better. 👎",4,2,Negative
POST01774,2025-05-06 23:00,Facebook,electric car,"Extremely poor service from electric car, never again. 😡",3,1,Negative
POST00850,2025-11-22 00:00,YouTube,streaming app,"The streaming app keeps crashing, so frustrating to deal with. 😞",6,0,Negative
POST01554,2025-04-13 20:00,Instagram,laptop brand,"Saw an ad for laptop brand today, might check it out later. 🤔",8,3,Neutral
POST01702,2025-05-05 06:00,Instagram,cloud gaming service,"Best cloud gaming service I've used so far, highly recommend it to everyone! 😊",9,0,Positive
POST00611,2025-12-24 11:00,Facebook,e-commerce sale,"Attended a webinar about e-commerce sale, learned a few things. 🤔",11,3,Neutral
POST01651,2025-06-25 07:00,Facebook,food delivery app,"Huge shoutout to the team behind food delivery app, amazing job!",1,4,Positive
POST00466,2025-07-19 10:00,Instagram,electric car,Here's a quick overview of the new electric car update. 🤔,6,1,Neutral
POST00778,2025-09-21 16:00,Facebook,fitness tracker,"Great value for money with fitness tracker, totally worth it. ❤️",23,9,Positive
POST00200,2025-02-25 21:00,Facebook,cloud gaming service,"Huge shoutout to the team behind cloud gaming service, amazing job! ❤️",5,0,Positive
POST01217,2025-07-10 11:00,Twitter,new smartphone,"The new smartphone update ruined everything, please fix this asap.",92,5,Negative
POST01064,2025-10-20 19:00,Instagram,cloud gaming service,Comparing cloud gaming service with other options currently available. 🤔,4,9,Neutral
POST01781,2025-01-30 11:00,YouTube,new movie release,"Just started using new movie release, will share my thoughts soon.",35,0,Neutral
POST01568,2025-09-27 19:00,Instagram,cloud gaming service,"Can't stop recommending cloud gaming service to my friends, it's brilliant. 😊",27,7,Positive
POST01983,2025-02-17 00:00,Twitter,food delivery app,"Decent food delivery app, does the job but support could be faster.",20,5,Neutral
POST00734,2025-01-26 16:00,Facebook,laptop brand,"Huge shoutout to the team behind laptop brand, amazing job!",94,0,Positive
POST01413,2025-12-10 14:00,YouTube,laptop brand,"The customer service for laptop brand was fantastic, quick and helpful. 👍",36,9,Positive
POST01426,2025-08-01 15:00,YouTube,cloud gaming service,"Feeling let down by cloud gaming service, it just doesn't work as promised. 👎",6,1,Negative
POST00675,2025-12-31 22:00,Facebook,e-commerce sale,The e-commerce sale has some new features this month.,0,2,Neutral
POST00937,2025-11-17 01:00,Facebook,cloud gaming service,"Really disappointed with cloud gaming service, expected way better. 👎",15,1,Negative
POST00044,2025-02-08 14:00,Instagram,new movie release,"Extremely poor service from new movie release, never again. 😡",6,1,Negative
POST00275,2025-04-26 04:00,Instagram,new movie release,"Best new movie release I've used so far, highly recommend it to everyone! 😊",12,6,Positive
POST01107,2025-10-07 06:00,YouTube,customer support,"Not sure yet what to think about customer support, still testing it out.",17,3,Neutral
POST00102,2025-09-07 07:00,Instagram,e-commerce sale,"Terrible customer support for e-commerce sale, waited hours for a reply.",15,14,Negative
POST01614,2025-08-01 07:00,Instagram,e-commerce sale,"Best e-commerce sale I've used so far, highly recommend it to everyone!",77,24,Positive
POST01342,2025-03-15 03:00,Instagram,customer support,"Not sure yet what to think about customer support, still testing it out. 🤔",13,6,Neutral
POST01266,2025-03-12 16:00,Twitter,streaming app,"Terrible customer support for streaming app, waited hours for a reply. 👎",9,0,Negative
POST00108,2025-02-11 15:00,Facebook,customer support,"Really disappointed with customer support, expected way better. 😡",12,1,Negative
POST00694,2025-06-11 22:00,Instagram,new movie release,"Not sure yet what to think about new movie release, still testing it out. 🤔",0,0,Neutral
POST00498,2025-06-19 17:00,Instagram,streaming app,"Can't stop recommending streaming app to my friends, it's brilliant. ❤️",6,0,Positive
POST02001,2025-06-17 04:00,Twitter,food delivery app,"The food delivery app is okay I guess, nothing special but works.",3,0,Neutral
POST01834,2025-04-18 17:00,Instagram,new smartphone,"Decent new smartphone, does the job but support could be faster.",15,7,Neutral
POST01336,2025-01-15 08:00,Instagram,online banking app,"The online banking app exceeded my expectations, five stars from me.",11,4,Positive
POST01882,2025-03-13 09:00,Facebook,laptop brand,"The laptop brand is okay I guess, nothing special but works.",3,1,Neutral
POST01117,2025-08-27 16:00,Facebook,streaming app,"Just tried the streaming app and I'm impressed, great experience overall.",6,1,Positive
POST01461,2025-09-24 10:00,Facebook,airline service,"Best airline service I've used so far, highly recommend it to everyone! 😊",1,6,Positive
POST00621,2025-07-13 09:00,Instagram,food delivery app,The food delivery app has some new features this month. 🤔,12,0,Neutral
POST01772,2025-09-21 21:00,YouTube,new movie release,"Read an article about new movie release today, fairly informative. 🤔",8,2,Neutral
POST00073,2025-02-05 08:00,Facebook,laptop brand,"Super smooth experience with laptop brand today, very happy customer here.",34,8,Positive
POST01512,2025-08-10 06:00,Facebook,electric car,"The customer service for electric car was fantastic, quick and helpful.",20,7,Positive
POST01236,2025-08-31 09:00,Facebook,laptop brand,"Attended a webinar about laptop brand, learned a few things. 🤔",16,1,Neutral
POST01178,2025-09-25 14:00,Facebook,cloud gaming service,Comparing cloud gaming service with other options currently available. 🤔,4,1,Neutral
POST00905,2025-05-07 23:00,Instagram,online banking app,"The online banking app exceeded my expectations, five stars from me. ❤️",11,0,Positive
POST00482,2025-10-16 06:00,Twitter,laptop brand,"Feeling let down by laptop brand, it just doesn't work as promised. 😞",24,0,Negative
POST01515,2025-12-21 04:00,Twitter,laptop brand,"Absolutely loving the laptop brand, works flawlessly! #happy",8,4,Positive
POST00507,2025-12-11 04:00,Twitter,e-commerce sale,"Super smooth experience with e-commerce sale today, very happy customer here. 😊",65,0,Positive
POST01112,2025-11-16 05:00,YouTube,electric car,"Great value for money with electric car, totally worth it.",55,11,Positive
POST01643,2025-11-22 22:00,Instagram,laptop brand,"The laptop brand broke down after just one week, very poor quality.",3,5,Negative
